Anno;Quartiere;NIL;Uomini;Donne;Totale;Minori;Stranieri;Famiglie registrate in anagrafe;Famiglie unipersonali registrate in anagrafe;80 e più soli fam registrate in anagrafe;Nati vivi;Nati fuori dal matrimonio;Nati con almeno un genitore straniero;Morti;Emigrati;Immigrati;80 e più;65 e più;Prima cittadinanza;residenti prima cittadinanza;Seconda cittadinanza;residenti seconda cittadinanza;Terza cittadinanza;residenti terza cittadinanza;Scuola dell'infanzia (numero);Scuola primaria (numero);Scuola secondaria di primo grado (numero);Area (metri quadrati)
2011;Rogoredo - Santa Giulia;33;4543;4410;8953;1690;1414;4636;2345;187;111;41;29;56;198;434;352;1277;Egitto;200;Perù;180;Romania;123;2;1;1;1200161,64
2011;Ronchetto delle Rane;40;395;373;768;199;116;301;96;15;6;0;3;4;14;6;24;84;Egitto;42;Filippine;17;Perù;14;0;0;0;188870,6
2011;Ronchetto sul Naviglio - Q.re Lodovico il Moro;48;6981;7551;14532;1948;1693;7331;3221;404;111;45;48;138;345;405;911;4040;Egitto;334;Perù;219;Filippine;189;4;4;3;2406775,2
2011;Roserio;74;145;128;273;49;53;115;34;1;4;2;2;2;5;6;7;47;Cinese, Repubblica Popolare;22;Filippine;8;Romania;5;0;0;0;708465,8
2011;San Siro;57;12365;13438;25803;3875;7995;14749;8622;1184;220;79;134;303;637;1037;2088;6090;Egitto;2411;Filippine;1121;Marocco;661;2;1;1;984925,54
2011;Sarpi;69;13509;15685;29194;4454;4936;16304;9128;1044;299;125;92;294;712;1160;2024;6162;Cinese, Repubblica Popolare;1706;Filippine;603;Sri Lanka (ex Ceylon);247;3;4;3;1811914,53
2011;Scalo Romana;36;5427;5130;10557;1471;3162;5805;3241;222;92;33;54;67;501;675;437;1878;Egitto;674;Filippine;566;Sri Lanka (ex Ceylon);263;0;1;0;1736727,98
2011;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;42;14135;14958;29093;4422;5040;15509;7874;979;250;89;91;278;663;1201;2020;6705;Filippine;877;Egitto;782;Perù;378;9;5;3;3232237,35
2011;Stadio - Ippodromi;60;6245;6771;13016;2452;2463;6063;2514;355;101;38;26;96;336;454;836;2849;Francia;613;Filippine;340;Perù;190;7;9;4;3435307,37
2011;Stazione Centrale - Ponte Seveso;10;8657;8807;17464;2514;4014;9823;5608;557;156;58;70;161;506;888;1089;3514;Filippine;615;Cinese, Repubblica Popolare;505;Bangladesh;455;3;4;4;1556077,52
2011;Stephenson;75;31;26;57;5;14;27;12;1;0;0;0;1;2;1;2;12;Cinese, Repubblica Popolare;9;Brasile;4;Perù;1;0;0;0;560097,89
2011;Taliedo - Morsenchio - Q.re Forlanini;30;8741;10242;18983;2743;2540;9814;4488;956;130;50;35;282;401;516;2099;5906;Perù;365;Filippine;287;Egitto;273;4;4;2;3821389,97
2011;Tibaldi;43;5529;6097;11626;1441;1854;6724;3834;503;99;48;35;115;350;511;928;2910;Egitto;347;Filippine;271;Perù;167;2;1;1;786214,31
2011;Tre Torri;59;594;731;1325;238;158;652;307;59;7;2;3;10;29;49;103;312;Francia;32;Filippine;18;Perù;10;0;0;0;513316,34
2011;Trenno;64;2157;2102;4259;568;261;2029;697;92;27;13;4;37;199;156;203;995;Eritrea;30;Somalia;24;Filippine;21;2;0;0;489710,56
2011;Triulzo Superiore;32;839;561;1400;227;934;863;594;17;14;3;13;6;67;145;30;113;Egitto;261;Sri Lanka (ex Ceylon);132;Perù;112;0;0;0;1395022,03
2011;Umbria - Molise - Calvairate;28;10580;11912;22492;3112;4327;12795;7265;998;194;62;80;247;551;918;1807;5413;Filippine;772;Egitto;701;Perù;339;3;1;1;1192396,73
2011;Vigentino - Q.re Fatima;38;6534;6995;13529;2043;1499;6779;2995;369;125;41;27;120;270;439;779;3416;Filippine;178;Sri Lanka (ex Ceylon);161;Egitto;150;4;2;1;1853233,5
2011;Villapizzone - Cagnola - Boldinasco;71;19111;20081;39192;6076;11134;21065;10963;1413;407;170;199;427;1011;1727;2923;8434;Cinese, Repubblica Popolare;2157;Egitto;1661;Filippine;1635;11;8;3;3427070,6
2011;XXII Marzo;26;14292;16949;31241;4699;3169;16959;9015;1229;250;82;54;302;742;985;2351;7519;Filippine;557;Perù;258;Sri Lanka (ex Ceylon);226;5;3;3;1637499,71
2012;Adriano;17;7773;7534;15307;2923;3083;7625;3296;251;166;78;56;93;328;745;513;2252;Filippine;506;Cinese, Repubblica Popolare;385;Egitto;359;4;1;0;2431560,11
2012;Affori;80;12101;11963;24064;3947;6974;12644;6522;646;261;101;138;177;543;1028;1273;4698;Cinese, Repubblica Popolare;1528;Egitto;1130;Filippine;994;5;3;2;2070893,65
2012;Assiano;87;159;148;307;70;30;127;52;6;2;1;0;1;21;15;9;36;Paesi Bassi;8;Croazia;4;Serbia, Repubblica di, Repubblica di;4;0;0;0;5844580,12
2012;Baggio - Q.re degli Olmi - Q.re Valsesia;55;14205;15643;29848;4541;5068;14680;6224;909;237;116;88;357;688;895;2090;7789;Filippine;960;Perù;735;Egitto;571;7;3;2;3478599,96
2012;Bande Nere;52;19932;24016;43948;6052;6552;24293;12247;2041;321;104;84;682;1040;1343;4534;12705;Filippine;1387;Egitto;578;Perù;572;15;7;7;2663880,93
2012;Barona;46;8013;9164;17177;2330;2037;8212;3064;560;88;40;35;265;348;290;1374;5219;Egitto;508;Marocco;233;Filippine;195;3;3;1;2006324,59
2012;Bicocca;15;3714;3643;7357;1316;1222;3823;1912;141;82;37;15;42;306;423;285;1161;Egitto;177;Filippine;157;Ecuador;102;0;0;0;1534521,13
2012;Bovisa;77;6695;6312;13007;1917;4500;7441;4412;438;141;56;82;95;313;635;763;2345;Egitto;1091;Cinese, Repubblica Popolare;748;Filippine;506;4;2;1;1913132,63
2012;Bovisasca;81;3538;3885;7423;1120;971;3455;1296;219;42;16;11;91;156;175;562;1913;Perù;123;Egitto;114;Cinese, Repubblica Popolare;93;3;1;1;1576826,44
