Id_NIL;NIL;Titolo di studio;Valori
31;Parco Monluè Ponte Lambro  ;Diploma di scuola secondaria superiore;1083
32;Triulzo Superiore  ;Diploma di scuola secondaria superiore;428
33;Rogoredo  ;Diploma di scuola secondaria superiore;2653
34;Chiaravalle  ;Diploma di scuola secondaria superiore;353
35;Lodi - Corvetto  ;Diploma di scuola secondaria superiore;10103
36;Scalo Romana  ;Diploma di scuola secondaria superiore;2823
37;Ex OM - Morivione  ;Diploma di scuola secondaria superiore;1994
38;Ripamonti  ;Diploma di scuola secondaria superiore;4472
39;Quintosole  ;Diploma di scuola secondaria superiore;432
40;Ronchetto delle Rane  ;Diploma di scuola secondaria superiore;236
41;Gratosoglio - Ticinello  ;Diploma di scuola secondaria superiore;4817
42;Stadera  ;Diploma di scuola secondaria superiore;8289
43;Tibaldi  ;Diploma di scuola secondaria superiore;3298
44;Navigli  ;Diploma di scuola secondaria superiore;4446
45;S. Cristoforo  ;Diploma di scuola secondaria superiore;3717
46;Barona  ;Diploma di scuola secondaria superiore;4726
47;Cantalupa  ;Diploma di scuola secondaria superiore;157
48;Ronchetto sul Naviglio  ;Diploma di scuola secondaria superiore;4382
49;Giambellino  ;Diploma di scuola secondaria superiore;8983
50;Tortona  ;Diploma di scuola secondaria superiore;4440
51;Washington  ;Diploma di scuola secondaria superiore;7584
52;Bande Nere  ;Diploma di scuola secondaria superiore;13985
53;Lorenteggio  ;Diploma di scuola secondaria superiore;3821
54;Muggiano  ;Diploma di scuola secondaria superiore;1005
55;Baggio  ;Diploma di scuola secondaria superiore;7916
56;Forze Armate  ;Diploma di scuola secondaria superiore;6362
57;Selinunte  ;Diploma di scuola secondaria superiore;6732
58;De Angeli - Monte Rosa  ;Diploma di scuola secondaria superiore;5978
59;Tre Torri  ;Diploma di scuola secondaria superiore;392
60;S. Siro  ;Diploma di scuola secondaria superiore;3664
61;Quarto Cagnino  ;Diploma di scuola secondaria superiore;3403
62;Quinto Romano  ;Diploma di scuola secondaria superiore;1513
63;Figino  ;Diploma di scuola secondaria superiore;523
64;Trenno  ;Diploma di scuola secondaria superiore;1514
65;Gallaratese  ;Diploma di scuola secondaria superiore;9701
66;QT 8;Diploma di scuola secondaria superiore;1309
67;Portello  ;Diploma di scuola secondaria superiore;2308
68;Pagano  ;Diploma di scuola secondaria superiore;4342
69;Sarpi  ;Diploma di scuola secondaria superiore;7981
70;Ghisolfa  ;Diploma di scuola secondaria superiore;5408
71;Villapizzone  ;Diploma di scuola secondaria superiore;11056
72;Maggiore - Musocco  ;Diploma di scuola secondaria superiore;1672
73;Cascina Triulza - Expo  ;Diploma di scuola secondaria superiore;70
74;Sacco  ;Diploma di scuola secondaria superiore;93
75;Stephenson  ;Diploma di scuola secondaria superiore;15
76;Quarto Oggiaro  ;Diploma di scuola secondaria superiore;7455
77;Bovisa  ;Diploma di scuola secondaria superiore;3561
78;Farini  ;Diploma di scuola secondaria superiore;1063
79;Dergano  ;Diploma di scuola secondaria superiore;6074
80;Affori  ;Diploma di scuola secondaria superiore;6737
81;Bovisasca  ;Diploma di scuola secondaria superiore;2153
82;Comasina  ;Diploma di scuola secondaria superiore;2602
83;Bruzzano  ;Diploma di scuola secondaria superiore;3740
84;Parco Nord  ;Diploma di scuola secondaria superiore;37
85;Parco delle Abbazie  ;Diploma di scuola secondaria superiore;79
86;Parco dei Navigli  ;Diploma di scuola secondaria superiore;86
87;Parco Agricolo Sud  ;Diploma di scuola secondaria superiore;55
88;Parco Bosco in Citta'  ;Diploma di scuola secondaria superiore;128
1;Duomo  ;Titoli universitari o para-universitari;6657
2;Brera  ;Titoli universitari o para-universitari;6726
3;Giardini Porta Venezia  ;Titoli universitari o para-universitari;19
4;Guastalla  ;Titoli universitari o para-universitari;5820
5;Vigentina  ;Titoli universitari o para-universitari;4921
6;Ticinese  ;Titoli universitari o para-universitari;6532
7;Magenta - S. Vittore  ;Titoli universitari o para-universitari;6815
9;Garibaldi Repubblica  ;Titoli universitari o para-universitari;1497
10;Centrale  ;Titoli universitari o para-universitari;4808
11;Isola  ;Titoli universitari o para-universitari;5057
12;Maciachini - Maggiolina  ;Titoli universitari o para-universitari;5719
13;Greco  ;Titoli universitari o para-universitari;2771
14;Niguarda - Ca Granda ;Titoli universitari o para-universitari;4138
15;Bicocca  ;Titoli universitari o para-universitari;1402
16;Viale Monza  ;Titoli universitari o para-universitari;4044
17;Adriano  ;Titoli universitari o para-universitari;1755
18;Parco Lambro - Cimiano  ;Titoli universitari o para-universitari;3629
19;Padova  ;Titoli universitari o para-universitari;4360
20;Loreto  ;Titoli universitari o para-universitari;7967
21;Buenos Aires - Venezia  ;Titoli universitari o para-universitari;19849
22;Citt_tudi  ;Titoli universitari o para-universitari;10123
23;Lambrate  ;Titoli universitari o para-universitari;1747
24;Parco Forlanini - Ortica  ;Titoli universitari o para-universitari;138
25;Corsica  ;Titoli universitari o para-universitari;4922
26;XXII Marzo  ;Titoli universitari o para-universitari;9202
27;Porta Romana  ;Titoli universitari o para-universitari;5244
28;Umbria - Molise  ;Titoli universitari o para-universitari;4503
29;Ortomercato  ;Titoli universitari o para-universitari;481
30;Mecenate  ;Titoli universitari o para-universitari;2289
31;Parco Monluè Ponte Lambro  ;Titoli universitari o para-universitari;290
32;Triulzo Superiore  ;Titoli universitari o para-universitari;165
33;Rogoredo  ;Titoli universitari o para-universitari;1731
34;Chiaravalle  ;Titoli universitari o para-universitari;140
35;Lodi - Corvetto  ;Titoli universitari o para-universitari;4991
36;Scalo Romana  ;Titoli universitari o para-universitari;1374
37;Ex OM - Morivione  ;Titoli universitari o para-universitari;1582
38;Ripamonti  ;Titoli universitari o para-universitari;2572
39;Quintosole  ;Titoli universitari o para-universitari;296
40;Ronchetto delle Rane  ;Titoli universitari o para-universitari;70
41;Gratosoglio - Ticinello  ;Titoli universitari o para-universitari;1577
42;Stadera  ;Titoli universitari o para-universitari;4322
43;Tibaldi  ;Titoli universitari o para-universitari;2426
44;Navigli  ;Titoli universitari o para-universitari;4481
45;S. Cristoforo  ;Titoli universitari o para-universitari;2029
46;Barona  ;Titoli universitari o para-universitari;1426
47;Cantalupa  ;Titoli universitari o para-universitari;81
48;Ronchetto sul Naviglio  ;Titoli universitari o para-universitari;1774
49;Giambellino  ;Titoli universitari o para-universitari;4892
50;Tortona  ;Titoli universitari o para-universitari;4776
51;Washington  ;Titoli universitari o para-universitari;9081
52;Bande Nere  ;Titoli universitari o para-universitari;9058
53;Lorenteggio  ;Titoli universitari o para-universitari;1988
54;Muggiano  ;Titoli universitari o para-universitari;327
55;Baggio  ;Titoli universitari o para-universitari;2571
56;Forze Armate  ;Titoli universitari o para-universitari;2711
57;Selinunte  ;Titoli universitari o para-universitari;3491
58;De Angeli - Monte Rosa  ;Titoli universitari o para-universitari;6897
59;Tre Torri  ;Titoli universitari o para-universitari;541
60;S. Siro  ;Titoli universitari o para-universitari;3288
61;Quarto Cagnino  ;Titoli universitari o para-universitari;1342
62;Quinto Romano  ;Titoli universitari o para-universitari;447
63;Figino  ;Titoli universitari o para-universitari;154
64;Trenno  ;Titoli universitari o para-universitari;567
65;Gallaratese  ;Titoli universitari o para-universitari;3371
66;QT 8;Titoli universitari o para-universitari;1180
67;Portello  ;Titoli universitari o para-universitari;2360
68;Pagano  ;Titoli universitari o para-universitari;6715
69;Sarpi  ;Titoli universitari o para-universitari;8056
70;Ghisolfa  ;Titoli universitari o para-universitari;3728
71;Villapizzone  ;Titoli universitari o para-universitari;4767
72;Maggiore - Musocco  ;Titoli universitari o para-universitari;614
73;Cascina Triulza - Expo  ;Titoli universitari o para-universitari;7
74;Sacco  ;Titoli universitari o para-universitari;21
75;Stephenson  ;Titoli universitari o para-universitari;0
76;Quarto Oggiaro  ;Titoli universitari o para-universitari;1722
77;Bovisa  ;Titoli universitari o para-universitari;1721
78;Farini  ;Titoli universitari o para-universitari;598
79;Dergano  ;Titoli universitari o para-universitari;2851
80;Affori  ;Titoli universitari o para-universitari;2895
81;Bovisasca  ;Titoli universitari o para-universitari;723
82;Comasina  ;Titoli universitari o para-universitari;681
83;Bruzzano  ;Titoli universitari o para-universitari;1278
84;Parco Nord  ;Titoli universitari o para-universitari;12
